step,baseline,ood,ood_enhance,iid_v3
1000,0.9,0.84,0.92,0.94
2000,0.96,0.88,0.86,0.94
3000,0.96,0.96,1.0,0.98
4000,0.98,0.92,0.92,0.92
5000,0.98,0.94,0.9,0.94
6000,0.96,0.98,0.96,0.96
7000,1.0,0.94,0.92,0.94
8000,0.98,0.98,0.94,0.94
9000,1.0,0.94,0.96,0.96
10000,0.9,1.0,1.0,1.0
11000,0.98,0.98,0.96,1.0
12000,,0.92,0.94,0.98
13000,,0.94,0.98,0.98
14000,,0.94,0.94,0.98
15000,,0.94,1.0,0.92
16000,,0.96,0.98,0.96
17000,,0.96,0.98,0.9
18000,,0.94,1.0,1.0
19000,,0.92,0.98,0.96
20000,,1.0,0.92,0.98
21000,,0.92,0.98,0.94
22000,,0.98,1.0,1.0
23000,,1.0,0.94,0.98
24000,,0.98,0.94,0.96
25000,,1.0,,0.92
26000,,,,0.94
27000,,,,1.0
28000,,,,1.0
29000,,,,0.98
30000,,,,1.0
31000,,,,0.98
32000,,,,0.98
33000,,,,0.92
34000,,,,1.0
35000,,,,0.96
36000,,,,1.0
37000,,,,1.0
38000,,,,0.98
39000,,,,0.98
40000,,,,0.98
41000,,,,0.98
42000,,,,0.96
43000,,,,0.96
44000,,,,0.96
45000,,,,0.98
46000,,,,0.94
47000,,,,0.96
