step,baseline,ood,ood_enhance,iid_v3
1000,0.86,0.94,,
2000,1.0,1.0,0.98,0.0
3000,0.96,0.98,,
4000,0.98,0.96,0.92,1.0
5000,0.98,0.84,,
6000,0.98,0.92,0.9,0.98
7000,0.94,0.86,,
8000,1.0,0.9,0.9,0.98
9000,0.92,0.88,,
10000,0.94,0.9,0.88,1.0
11000,0.98,0.88,,
12000,,0.88,0.98,0.98
13000,,0.86,,
14000,,0.84,0.98,1.0
15000,,0.92,,
16000,,0.84,0.92,1.0
17000,,0.9,,
18000,,0.9,0.86,1.0
19000,,0.94,,
20000,,0.84,0.98,0.98
21000,,0.8,,
22000,,0.9,1.0,0.98
23000,,0.86,,
24000,,0.84,0.94,1.0
25000,,0.84,,
26000,,,,1.0
28000,,,,1.0
30000,,,,1.0
32000,,,,1.0
34000,,,,1.0
36000,,,,1.0
38000,,,,0.98
40000,,,,1.0
42000,,,,1.0
44000,,,,1.0
46000,,,,1.0
