step,baseline,ood,ood_enhance,iid_v3
1000,0.94,0.92,0.94,0.92
2000,0.96,0.94,0.94,0.8
3000,0.94,0.92,0.98,0.96
4000,0.96,0.92,1.0,0.94
5000,0.96,0.86,0.94,0.84
6000,0.94,0.92,0.96,0.98
7000,0.92,0.96,0.98,0.88
8000,0.96,1.0,1.0,0.92
9000,0.98,0.96,0.96,1.0
10000,0.96,0.96,1.0,1.0
11000,0.98,1.0,0.94,0.92
12000,,0.96,0.98,1.0
13000,,0.98,0.96,0.98
14000,,0.92,0.94,1.0
15000,,0.94,0.96,0.98
16000,,0.98,1.0,0.98
17000,,0.96,0.98,0.94
18000,,1.0,1.0,0.98
19000,,0.94,1.0,1.0
20000,,0.94,0.96,0.92
21000,,0.96,0.94,0.96
22000,,0.94,1.0,0.98
23000,,0.94,0.96,0.98
24000,,0.96,0.96,0.98
25000,,0.96,,0.98
26000,,,,0.9
27000,,,,0.96
28000,,,,0.96
29000,,,,0.96
30000,,,,0.98
31000,,,,0.98
32000,,,,1.0
33000,,,,0.96
34000,,,,0.94
35000,,,,0.96
36000,,,,0.96
37000,,,,0.98
38000,,,,1.0
39000,,,,0.98
40000,,,,0.96
41000,,,,0.98
42000,,,,1.0
43000,,,,0.94
44000,,,,0.98
45000,,,,1.0
46000,,,,0.98
47000,,,,0.96
