step,baseline,ood,ood_enhance,iid_v3
1000,0.0,0.12,,
2000,0.0,0.06,0.08,
3000,0.0,0.14,,
4000,0.0,0.12,0.22,0.8
5000,0.0,0.28,,
6000,0.0,0.1,0.08,0.72
7000,0.0,0.28,,
8000,0.0,0.34,0.26,0.88
9000,0.0,0.24,,
10000,0.0,0.38,0.22,0.9
11000,0.0,0.22,,
12000,,0.18,0.16,0.92
13000,,0.24,,
14000,,0.38,0.24,0.88
15000,,0.28,,
16000,,0.38,0.2,0.88
17000,,0.4,,
18000,,0.48,0.24,0.9
19000,,0.34,,
20000,,0.32,0.12,0.9
21000,,0.36,,
22000,,0.36,0.28,0.8
23000,,0.38,,
24000,,0.3,0.18,0.92
25000,,0.36,,
26000,,,,0.84
28000,,,,0.92
30000,,,,0.92
32000,,,,0.9
34000,,,,0.92
36000,,,,0.94
38000,,,,0.94
40000,,,,0.94
42000,,,,0.94
44000,,,,0.94
46000,,,,0.94
