step,baseline,ood,ood_enhance,iid_v3
1000,0.05941207509172694,0.15989879005833957,,
2000,0.07491063489797073,0.15887037834871984,0.102242,0.0
3000,0.06622616451674054,0.14741743806547838,,
4000,0.08027180566717691,0.19444000911072318,0.20487199999999997,0.30225799999999997
5000,0.10324279952582038,0.24008746530466382,,
6000,0.07297918153878075,0.30406824429385126,0.219854,0.280172
7000,0.0986053068441435,0.2849538817629276,,
8000,0.1007924252237228,0.2321416470137245,0.25025000000000003,0.36413399999999996
9000,0.06915944002033747,0.27462282634118446,,
10000,0.09377624995838582,0.2751956225050465,0.28165,0.478932
11000,0.1042523713868186,0.2397574801206607,,
12000,,0.24745501897459984,0.294884,0.518412
13000,,0.2668710306200924,,
14000,,0.2111269061481202,0.287836,0.5999519999999999
15000,,0.31610358286784407,,
16000,,0.2634971348653286,0.286192,0.53505
17000,,0.26818468553533187,,
18000,,0.2988413708935889,0.298622,0.562488
19000,,0.2916329003619413,,
20000,,0.29016755393696425,0.31801599999999997,0.5002580000000001
21000,,0.2921203874845326,,
22000,,0.3162211437132493,0.33013999999999993,0.532838
23000,,0.30856072917157057,,
24000,,0.2727692580222724,0.343592,0.6538219999999998
25000,,0.28061154502870767,,
26000,,,,0.6235020000000001
28000,,,,0.697094
30000,,,,0.67193
32000,,,,0.644692
34000,,,,0.689126
36000,,,,0.724026
38000,,,,0.7103439999999999
40000,,,,0.738112
42000,,,,0.754298
44000,,,,0.7425780000000001
46000,,,,0.740784
